      20     170
     1     1   9.0000000000000000e+00
     7     1   9.9773091934006075e-01
    11     1   1.9380374801525499e-01
    12     1  -2.0832050129707091e-01
    18     1  -1.0000000000000000e+00
     2     2   8.5000000000000000e+00
     4     2  -1.1814903952827454e+00
     5     2  -2.4057893863351976e+00
     8     2  -3.7173583582739429e-02
    11     2  -2.0851166565613152e-01
    13     2  -2.9504974280034085e-01
    18     2  -1.0967852988613660e+00
    19     2  -3.7324732800994093e-01
    20     2  -3.8141550637732019e-01
     3     3   7.0799197494822748e+00
     4     3   1.1653557669138168e+00
     6     3   3.0759640630323459e-01
     7     3   1.3218844124351685e+00
     8     3   1.0062125497851564e+00
     9     3  -1.3771742563683458e+00
    11     3  -1.1489010424679167e+00
    15     3  -3.0649712924755107e-01
     2     4  -1.1814903952827454e+00
     3     4   1.1653557669138168e+00
     4     4   7.0000000000000000e+00
     6     4  -9.4080219344836347e-02
     7     4  -1.4617896532026984e+00
     9     4   7.7490624015828580e-01
    11     4   1.2633748417101021e+00
    13     4   1.5745779791018952e+00
    16     4  -6.4883291873094306e-01
     2     5  -2.4057893863351976e+00
     5     5   5.0000000000000000e+00
     6     5  -1.0446290100364510e+00
     9     5  -2.3005340608854952e+00
    10     5  -1.1372407672723737e+00
    11     5  -7.4871983720261026e-01
    13     5  -2.8846092949899205e-01
    14     5  -9.5271613253530740e-01
    17     5  -7.3684780082786039e-01
     3     6   3.0759640630323459e-01
     4     6  -9.4080219344836347e-02
     5     6  -1.0446290100364510e+00
     6     6   7.1263276565750955e+00
     8     6   1.1708467654709840e+00
    10     6  -7.1637376492732074e-01
    13     6  -9.9705127317536468e-01
    15     6   1.1609047934801675e+00
    17     6  -1.8152068611550141e+00
     1     7   9.9773091934006075e-01
     3     7   1.3218844124351685e+00
     4     7  -1.4617896532026984e+00
     7     7   7.0000000000000000e+00
    13     7  -6.0395813082110261e-01
    14     7  -1.7297666274655081e+00
    15     7   1.3217231210848166e+00
    18     7  -1.3326111814960617e+00
     2     8  -3.7173583582739429e-02
     3     8   1.0062125497851564e+00
     6     8   1.1708467654709840e+00
     8     8   7.8765573647198526e+00
    11     8   4.0436829368675647e-01
    14     8  -1.8534553639340586e-02
    16     8   1.2162899876240696e+00
    18     8   2.6799419790984758e-01
     3     9  -1.3771742563683458e+00
     4     9   7.7490624015828580e-01
     5     9  -2.3005340608854952e+00
     9     9   6.0000000000000000e+00
    11     9   2.6808783863847074e-01
    12     9   4.7103887013419821e-01
    15     9   3.0113608292626926e-01
     5    10  -1.1372407672723737e+00
     6    10  -7.1637376492732074e-01
    10    10   7.0000000000000000e+00
    12    10   7.6947782231388340e-01
    14    10   3.3434461792558373e-01
    15    10  -3.3962628864919070e-01
    16    10   4.1609733975302897e-02
    18    10  -2.2717182661263913e-01
    19    10  -2.4337628525457098e+00
    20    10   1.3774276124011255e+00
