      20      13
    15    15   6.4493181843713216e-01
    20    15  -5.0379894645922152e-01
    16    16   7.3864287457586721e-01
    17    16   6.5012296208174514e-01
    19    16   4.7546936887898256e-01
    16    17   6.5012296208174514e-01
    17    17   3.0000000000000000e-01
    20    17   1.2219710453446950e-01
    16    19   4.7546936887898256e-01
    19    19   4.0000000000000000e-01
    15    20  -5.0379894645922152e-01
    17    20   1.2219710453446950e-01
    20    20   7.0351400667683057e-01
