    9956      57
  9722  9722   1.6443602221703613e+00
  9747  9722   1.4328434580736463e-01
  9755  9722   3.6808987628616813e-02
  9722  9747   1.4328434580736463e-01
  9747  9747   1.7732938434086207e+00
  9787  9747   6.3865228928604838e-03
  9722  9755   3.6808987628616813e-02
  9755  9755   2.1864866516740697e+00
  9804  9755   1.6339096807618830e-02
  9747  9787   6.3865228928604838e-03
  9787  9787   2.1877055281587641e+00
  9835  9787  -6.3865228928590197e-03
  9755  9804   1.6339096807618830e-02
  9804  9804   1.9330049852630593e+00
  9847  9804  -1.3977653714758748e-01
  9787  9835  -6.3865228928590197e-03
  9835  9835   1.7732938434086207e+00
  9870  9835   1.4328434580736424e-01
  9804  9847  -1.3977653714758748e-01
  9847  9847   1.5443152118465500e+00
  9878  9847  -7.3708419031602995e-02
  9835  9870   1.4328434580736424e-01
  9870  9870   1.6443602221703608e+00
  9901  9870  -3.6808987628620553e-02
  9847  9878  -7.3708419031602995e-02
  9878  9878   2.1830008401256218e+00
  9908  9878   3.0395093082754666e-02
  9870  9901  -3.6808987628620553e-02
  9901  9901   2.1864866516740729e+00
  9927  9901  -1.6339096807621505e-02
  9878  9908   3.0395093082754666e-02
  9908  9908   2.1273094837754614e+00
  9934  9908  -1.3290785704117489e-01
  9901  9927  -1.6339096807621505e-02
  9927  9927   1.9330049852630569e+00
  9932  9927   1.3977653714758587e-01
  9927  9932   1.3977653714758587e-01
  9932  9932   1.5443152118465504e+00
  9947  9932   7.3708419031603967e-02
  9908  9934  -1.3290785704117489e-01
  9934  9934   1.4731359344353927e+00
  9948  9934  -1.1572822845940840e-01
  9932  9947   7.3708419031603967e-02
  9947  9947   2.1830008401256218e+00
  9953  9947   3.0395093082754870e-02
  9934  9948  -1.1572822845940840e-01
  9948  9948   2.1777311083801827e+00
  9954  9948  -3.5152915080883612e-02
  9947  9953   3.0395093082754870e-02
  9953  9953   2.1273094837754583e+00
  9956  9953  -1.3290785704117369e-01
  9948  9954  -3.5152915080883612e-02
  9954  9954   2.1777311083801840e+00
  9956  9954  -1.1572822845940851e-01
  9953  9956  -1.3290785704117369e-01
  9954  9956  -1.1572822845940851e-01
  9956  9956   1.4731359344353940e+00
