   25914   49284
   21287   21287   5.6705569132608873e-03
   21288   21287   1.6177715983707602e-17
   21289   21287   2.1209746012052690e-03
   21290   21287   7.0689574286692588e-04
   21293   21287   6.6726365451246616e-03
   21294   21287   1.9855768494765020e-17
   21295   21287   3.8502475044864830e-04
   21296   21287  -1.5299578828471040e-03
   21301   21287   8.3634373235031267e-03
   21302   21287   9.9278842473825115e-18
   21305   21287  -2.0954461525984668e-03
   21306   21287   1.3741559854726301e-03
   21851   21287  -5.6305924376111264e-03
   21852   21287  -2.7693571847961741e-17
   21861   21287  -2.5071548224660711e-03
   21862   21287  -8.3559681306243582e-04
   21865   21287  -6.7126010207741657e-03
   21866   21287   2.6615873886897192e-18
   22429   21287  -1.5060050887957450e-03
   22430   21287  -1.2550881701710009e-03
   22433   21287  -7.4984789667429850e-04
   22434   21287   9.2127467292596292e-04
   22447   21287   2.1531048611887690e-03
   22448   21287   7.1772919008727140e-04
   22451   21287   5.7575255437971240e-03
   22452   21287  -5.3721610483369177e-18
   22455   21287   2.8651484443469248e-03
   22456   21287  -9.5494789295357842e-04
   22457   21287   7.6821691503957974e-03
   22458   21287   6.3029001965290280e-18
   22523   21287  -7.6156338637785237e-03
   22524   21287   9.4053640238360623e-18
   22525   21287  -6.6460657341566786e-03
   22526   21287  -8.3603235767431670e-18
   22535   21287  -2.8343868922527729e-03
   22536   21287  -7.0696934608843905e-04
   22547   21287  -1.2594499133549481e-02
   22548   21287  -6.2702426825573749e-18
   22549   21287  -1.2516035905814441e-02
   22550   21287  -6.2702426825573749e-18
   22551   21287  -9.8055274483129524e-03
   22552   21287   2.4558450506683049e-17
   22559   21287  -1.6123375506434780e-03
   22560   21287  -1.5675606706393439e-17
   22567   21287  -2.5691470456502591e-03
   22568   21287   2.0776932973815470e-04
   22569   21287  -2.2160950787109648e-03
   22570   21287  -9.8614133624182329e-04
   22767   21287   6.6120069783058653e-04
   22768   21287  -3.8017064813671972e-05
   23289   21287   8.3621395596615959e-03
   23290   21287   2.1423329165404369e-17
   23293   21287   9.8127688512779625e-04
   23294   21287  -1.7450665193687171e-03
   23577   21287  -7.2553795722291913e-03
   23578   21287  -2.9261132518601093e-17
   23579   21287  -2.3106926042389710e-03
   23580   21287   6.5356958646864427e-04
   23623   21287   5.4351106260804001e-03
   23624   21287   2.3905300227249992e-17
   23629   21287   3.7190413659352150e-03
   23630   21287   6.4661877663872931e-18
   23631   21287   6.1626385414913318e-04
   23632   21287   4.6438618136853213e-04
   23649   21287  -7.6424810929888306e-03
   23650   21287  -4.6243039783860637e-17
   23651   21287  -1.0004975776955661e-02
   23652   21287  -4.9639421236912558e-18
   23667   21287  -2.1796569033077640e-03
   23668   21287  -4.6500388760506722e-05
   23683   21287  -1.4611153925420809e-03
   23684   21287  -3.6576415648251348e-17
   23685   21287   2.1347933593175101e-03
   23686   21287  -3.1539010914372122e-04
   23703   21287   5.7062890372638446e-03
   23704   21287  -8.8828438002896147e-18
   23705   21287   7.6309326438626212e-03
   23706   21287   1.3585525812207650e-17
   23721   21287   2.8398293498041421e-03
   23722   21287   4.7362570152436749e-04
   23753   21287   4.8781294067067396e-03
   23754   21287  -2.4035930283136601e-17
   23759   21287  -1.2986707872904620e-02
   23760   21287   8.4909536326297791e-19
   23761   21287  -3.4129486051316508e-04
   23762   21287  -1.4678179836149030e-03
   23983   21287   1.3822490782882449e-03
   23984   21287  -2.7432311736188521e-18
   23987   21287   2.2268388751834259e-04
   23988   21287   7.4273887196764051e-05
   24345   21287   1.1918515127714691e-02
   24346   21287   1.0189144359155740e-17
   24349   21287   1.6369257260949841e-03
   24350   21287   1.0014107267684029e-03
   24361   21287  -1.1887991488330481e-02
   24362   21287   2.2990889836043709e-17
   24365   21287   7.0068327641493360e-04
   24366   21287   2.9783652742147531e-17
   24369   21287  -1.3691191797898521e-03
   24370   21287   1.0860572507893130e-03
   24509   21287   5.5336013285249373e-03
   24510   21287  -2.4297190394909830e-17
   24511   21287  -1.0094975267699740e-02
   24512   21287  -9.0461313701478797e-18
   24521   21287  -1.6138737762360429e-04
   24522   21287  -1.0473746346747229e-03
   24545   21287  -3.7059564247309408e-04
   24546   21287   2.6126011177322402e-18
   24549   21287   9.8412815840149301e-04
   24550   21287  -1.6544847593909481e-04
   24571   21287   7.8660525656994856e-03
   24572   21287  -4.8333120678046431e-18
   24577   21287   4.1210194033003550e-03
   24578   21287   2.7432311736188521e-18
   24579   21287   5.0316008213229641e-04
   24580   21287   7.5283325108748214e-04
   24621   21287  -7.3070203637602294e-03
   24622   21287   7.3152831296502717e-18
   24629   21287   1.9471483782406739e-03
   24630   21287  -9.1756133193520329e-04
   24669   21287  -5.1943154041580461e-03
   24670   21287  -4.7026820119180312e-18
   24671   21287  -1.7272998684779691e-03
   24672   21287   3.5591233373293523e-04
   24681   21287   8.2605396156579768e-03
   24682   21287   1.1756705029795080e-17
   24687   21287   1.0544501901852609e-03
   24688   21287   2.4558450506683049e-17
   24689   21287   2.3666948205486411e-03
   24690   21287  -2.5533227408763409e-04
   24693   21287   1.0024150732767230e-02
   24694   21287  -7.8378033531967194e-18
   24699   21287   2.8362489820366612e-03
   24700   21287  -2.3513410059590160e-17
   24701   21287  -3.6722096319905288e-04
   24702   21287   1.0735375722391420e-03
   24825   21287   3.5872663639351259e-03
   24826   21287   1.7439112460862699e-17
   24835   21287   1.1434284378152399e-03
   24836   21287  -1.0776979610645489e-17
   24839   21287   1.6806340740940741e-04
   24840   21287   3.0207843686412431e-04
   25061   21287   9.7682773572572278e-03
   25062   21287   1.2279225253341531e-17
   25065   21287   1.2940062918255189e-03
   25066   21287   1.3328879679930950e-03
   25171   21287   5.9744751858503687e-04
   25172   21287  -1.0450404470928961e-18
   25173   21287  -7.6078909714813233e-03
   25174   21287  -1.1952650113625000e-17
   25189   21287  -2.8276738213117231e-04
   25190   21287  -8.4262043808154292e-04
   25193   21287  -8.6204613883304943e-04
   25194   21287   1.1756705029795080e-17
   25195   21287  -3.9117207777460302e-04
   25196   21287   1.3035836574973721e-04
   25257   21287   1.0453113007470290e-02
   25258   21287   2.7954831959734972e-17
   25261   21287   7.2997472284062903e-04
   25262   21287   1.2775562692118111e-03
   25263   21287  -4.9107221001024031e-03
   25264   21287   1.8288207824125679e-18
   25267   21287   1.3294877835131570e-03
   25268   21287  -5.1351455515986704e-04
   25285   21287   5.5362100155847546e-03
   25286   21287   7.8378033531967186e-19
   25497   21287   9.6211857176681671e-03
   25498   21287  -1.3585525812207650e-17
   25501   21287  -1.3764937282121840e-03
   25502   21287   8.8828438002896147e-18
   25505   21287   2.2429222330218540e-03
   25506   21287  -7.3470047102513634e-05
   25541   21287  -3.8897187599263409e-03
   25542   21287   3.5792635312931678e-17
   25543   21287  -1.1060673468812679e-03
   25544   21287   2.7911375283731679e-04
   25577   21287   6.9286036627961029e-03
   25578   21287   6.5315027943305995e-19
   25583   21287   2.4945329505458671e-03
   25584   21287   1.5153086482846991e-17
   25585   21287   1.2238865749787360e-03
   25586   21287   3.4832693971926278e-04
   25589   21287   1.0662998697197920e-03
   25590   21287   6.9233929619904352e-18
   25593   21287  -4.2117607950075461e-03
   25594   21287   7.9357758951116781e-18
   25597   21287  -9.2148572847611495e-05
   25598   21287  -3.4273753554696877e-04
   25725   21287   8.2325784016125860e-03
   25726   21287   3.3963814530519120e-18
   25735   21287   8.9840144013959464e-04
   25736   21287  -8.8304632931525764e-04
   25781   21287   3.4141497682580908e-03
   25782   21287   1.1756705029795080e-17
   25785   21287   1.2485474656589191e-04
   25786   21287  -6.9168419750925377e-04
   25787   21287  -1.2206315552047500e-03
   25788   21287   9.8625692194392052e-18
   25791   21287   2.9883573729099600e-04
   25792   21287  -9.9576259967784343e-05
   25797   21287  -7.2836349627173355e-04
   25798   21287  -3.2918774083426217e-17
   25801   21287  -5.5415278205426088e-03
   25802   21287  -1.0842294638588789e-17
   25803   21287  -4.0417657960840621e-04
   25804   21287   6.2887295465519002e-04
   25865   21287  -3.7289469974133042e-03
   25866   21287   2.8069133258635750e-17
   25867   21287   7.8382853508682910e-04
   25868   21287   5.0292571516345613e-18
   25873   21287  -8.2240208906307792e-05
   25874   21287  -2.5583044995496448e-04
   25875   21287   4.0041430343801801e-03
   25876   21287   2.6517901344982230e-17
   25879   21287   2.7981285845458302e-04
   25880   21287   3.4597954689141112e-04
   25905   21287  -9.2124083764647338e-04
   25906   21287   1.0228333375921720e-16
   25907   21287   1.3744082969514200e-03
   25908   21287   6.1396126266707630e-18
   25913   21287  -2.1638629056621429e-04
   25914   21287   7.2182686798763038e-05
   21287   21288   1.6177715983707602e-17
   21288   21288   4.6153931342698702e-32
   21289   21288   6.0509973238633297e-18
   21290   21288   2.0167258230756049e-18
   21293   21288   1.9036581510555469e-17
   21294   21288   5.6647166805674101e-32
   21295   21288   1.0984496152202810e-18
   21296   21288  -4.3648665332770110e-18
   21301   21288   2.3860321964279069e-17
   21302   21288   2.8323583402837050e-32
   21305   21288  -5.9781663837312053e-18
   21306   21288   3.9203742401915410e-18
   21851   21288  -1.6063700033177649e-17
   21852   21288  -7.9007890544755983e-32
   21861   21288  -7.1527434192904791e-18
   21862   21288  -2.3839012861334050e-18
   21865   21288  -1.9150597461084691e-17
   21866   21288   7.5933291030632224e-33
   22429   21288  -4.2965308291995281e-18
   22430   21288  -3.5806818028851309e-18
   22433   21288  -2.1392654176539110e-18
   22434   21288   2.6283344351460958e-18
   22447   21288   6.1426627860827803e-18
   22448   21288   2.0476329164944859e-18
   22451   21288   1.6425831614293552e-17
   22452   21288  -1.5326412729495709e-32
   22455   21288   8.1740750499145392e-18
   22456   21288  -2.7244018581869821e-18
   22457   21288   2.1916709867291610e-17
   22458   21288   1.7981748673511680e-32
   22523   21288  -2.1726889187197271e-17
   22524   21288   2.6832868486898258e-32
   22525   21288  -1.8960776780989741e-17
   22526   21288  -2.3851438655020671e-32
   22535   21288  -8.0863144188849072e-18
   22536   21288  -2.0169358080967128e-18
   22547   21288  -3.5931255616733971e-17
   22548   21288  -1.7888578991265511e-32
   22549   21288  -3.5707405326034330e-17
   22550   21288  -1.7888578991265511e-32
   22551   21288  -2.7974507716920938e-17
   22552   21288   7.0063601049123230e-32
   22559   21288  -4.5998901630240818e-18
   22560   21288  -4.4721447478163758e-32
   22567   21288  -7.3296030461689426e-18
   22568   21288   5.9275186865133885e-19
   22569   21288  -6.3223696234205687e-18
   22570   21288  -2.8133946456310150e-18
   22767   21288   1.8863609450277591e-18
   22768   21288  -1.0846011890851699e-19
   23289   21288   2.3856619531667359e-17
   23290   21288   6.1119311553490477e-32
   23293   21288   2.7995166950622928e-18
   23294   21288  -4.9785569486136723e-18
   23577   21288  -2.0699108018654971e-17
   23578   21288  -8.3480035292572359e-32
   23579   21288  -6.5922499762964490e-18
   23580   21288   1.8645898995833789e-18
   23623   21288   1.5506003624288919e-17
   23624   21288   6.8200207404199740e-32
   23629   21288   1.0610173898274360e-17
   23630   21288   1.8447597084742550e-32
   23631   21288   1.7581591642497991e-18
   23632   21288   1.3248624189574370e-18
   23649   21288  -2.1803482519343920e-17
   23650   21288  -1.3192827006058310e-31
   23651   21288  -2.8543520331301247e-17
   23652   21288  -1.4161791701418531e-32
   23667   21288  -6.2184139693896609e-18
   23668   21288  -1.3266246931412409e-19
   23683   21288  -4.1684635568495422e-18
   23684   21288  -1.0435004411571541e-31
   23685   21288   6.0904213076813203e-18
   23686   21288  -8.9978668547805134e-19
   23703   21288   1.6279657320767930e-17
   23704   21288  -2.5342153570959472e-32
   23705   21288   2.1770535573766279e-17
   23706   21288   3.8758587814408601e-32
   23721   21288   8.1018413827909605e-18
   23722   21288   1.3512221460871121e-18
   23753   21288   1.3916973814145540e-17
   23754   21288  -6.8572886133184438e-32
   23759   21288  -3.7050200667224051e-17
   23760   21288   2.4224117384005369e-33
   23761   21288  -9.7369119198311524e-19
   23762   21288  -4.1875855966050151e-18
   23983   21288   3.9434632875291359e-18
   23984   21288  -7.8262533086786587e-33
   23987   21288   6.3530209493091725e-19
   23988   21288   2.1189838501844941e-19
   24345   21288   3.4002718892175213e-17
   24346   21288   2.9068940860806452e-32
   24349   21288   4.6700385673336843e-18
   24350   21288   2.8569571857768781e-18
   24361   21288  -3.3915637010042622e-17
   24362   21288   6.5591456301306854e-32
   24365   21288   1.9990020757689499e-18
   24366   21288   8.4970750208511151e-32
   24369   21288  -3.9060045736759724e-18
   24370   21288   3.0984480032688898e-18
   24509   21288   1.5786990948030870e-17
   24510   21288  -6.9318243591153834e-32
   24511   21288  -2.8800282801409108e-17
   24512   21288  -2.5808001982190339e-32
   24521   21288  -4.6042729109099741e-19
   24522   21288  -2.9880891114385000e-18
   24545   21288  -1.0572843444545690e-18
   24546   21288   7.4535745796939606e-33
   24549   21288   2.8076511851872281e-18
   24550   21288  -4.7201333036983374e-19
   24571   21288   2.2441316834896590e-17
   24572   21288  -1.3789112972433830e-32
   24577   21288   1.1756990096340130e-17
   24578   21288   7.8262533086786587e-33
   24579   21288   1.4354817397281600e-18
   24580   21288   2.1477824322163170e-18
   24621   21288  -2.0846435709980892e-17
   24622   21288   2.0870008823143090e-32
   24629   21288   5.5550828469156453e-18
   24630   21288  -2.6177405240332940e-18
   24669   21288  -1.4819031115224811e-17
   24670   21288  -1.3416434243449129e-32
   24671   21288  -4.9278698932699443e-18
   24672   21288   1.0153938560716950e-18
   24681   21288   2.3566761751700921e-17
   24682   21288   3.3541085608622817e-32
   24687   21288   3.0082751935513101e-18
   24688   21288   7.0063601049123230e-32
   24689   21288   6.7520205180217777e-18
   24690   21288  -7.2844573731445896e-19
   24693   21288   2.8598225185491882e-17
   24694   21288  -2.2360723739081879e-32
   24699   21288   8.0916268353054983e-18
   24700   21288  -6.7082171217245646e-32
   24701   21288  -1.0476566123523010e-18
   24702   21288   3.0627302057244689e-18
   24825   21288   1.0234228715337460e-17
