   10142    1691
  6199  6199   3.7182029701169289e-01
  6201  6199   1.0184939662308641e-02
  6461  6199   6.6826607137711519e-02
  6497  6199   1.5505618554596810e-02
  6199  6201   1.0184939662308641e-02
  6201  6201   3.4414009098477383e-01
  6257  6257   3.4414009098477383e-01
  6569  6257  -1.0184939662308689e-02
  6437  6437   2.7280185462119783e-01
  6564  6437   8.3359196117161874e-02
  6765  6437  -4.2524208816098058e-02
  6458  6458   2.7679773837650051e-01
  6814  6458   7.5788515131402043e-02
  6831  6458  -5.4350512057407492e-02
  6199  6461   6.6826607137711519e-02
  6461  6461   5.7681963491441990e-01
  6463  6461   8.9599435623138532e-02
  6497  6461   1.0220074418423090e-01
  6841  6461   1.6815690008059481e-02
  6461  6463   8.9599435623138532e-02
  6463  6463   2.7889516037980833e-01
  6841  6463  -4.1440299562735879e-02
  6464  6464   2.8274533023780918e-01
  6833  6464   6.0586898328247603e-02
  6842  6464  -7.4981334440045705e-02
  6465  6465   2.8000513946879102e-01
  6830  6465  -7.0207929982239931e-02
  6834  6465   6.3010378146825863e-02
  6467  6467   2.7445141944418339e-01
  6766  6467   7.9547307045851959e-02
  6815  6467   4.8200399313355388e-02
  6199  6497   1.5505618554596810e-02
  6461  6497   1.0220074418423090e-01
  6497  6497   4.2119905080097841e-01
  6499  6497  -1.2390876313682160e-02
  6849  6497   3.4748570290710760e-02
  6497  6499  -1.2390876313682160e-02
  6499  6499   4.9898739003069692e-01
  6847  6499  -6.8239917892520541e-02
  6849  6499  -1.3626680444994160e-01
  6562  6562   2.7038544212576898e-01
  6566  6562   3.6882632524493253e-02
  6772  6562   8.6368194907728360e-02
  6437  6564   8.3359196117161874e-02
  6564  6564   5.0371376978472471e-01
  6566  6564   2.6767720899331961e-02
  6765  6564   2.1035044754678010e-02
  6778  6564   7.9366779955962904e-02
  6562  6566   3.6882632524493253e-02
  6564  6566   2.6767720899331961e-02
  6566  6566   4.2106741126270769e-01
  6772  6566  -2.3883787261325840e-02
  6778  6566  -4.0132077514357198e-02
  6567  6567   4.1801287603137988e-01
  6573  6567   2.8876333420144139e-02
  6771  6567  -2.9214481784288430e-02
  6772  6567   3.1200435542473020e-02
  6775  6567   3.5027495507106612e-02
  6257  6569  -1.0184939662308689e-02
  6569  6569   3.6209397309770641e-01
  6571  6569   6.9008645659768150e-02
  6572  6569   3.4562629960701287e-02
  6570  6570   2.6384785457991361e-01
  6571  6570   9.4342552759151696e-02
  6574  6570  -2.1205588050992121e-02
  6569  6571   6.9008645659768150e-02
  6570  6571   9.4342552759151696e-02
  6571  6571   6.3129723292406281e-01
  6572  6571   1.2622436603834011e-01
  6574  6571   3.2751572959626038e-02
  6569  6572   3.4562629960701287e-02
  6571  6572   1.2622436603834011e-01
  6572  6572   4.2882793464614227e-01
  6579  6572  -2.4348434355959099e-03
  6991  6572  -1.9604931500946578e-02
  6567  6573   2.8876333420144139e-02
  6573  6573   5.3342247686613620e-01
  6574  6573  -3.6685727394303383e-02
  6582  6573   8.4223819304968042e-02
  6771  6573   8.9364058142057612e-02
  6570  6574  -2.1205588050992121e-02
  6571  6574   3.2751572959626038e-02
  6573  6574  -3.6685727394303383e-02
  6574  6574   4.1166838599176570e-01
  6582  6574   2.5908118558901450e-02
  6572  6579  -2.4348434355959099e-03
  6579  6579   5.3742782213979101e-01
  6991  6579   1.4215564070039530e-01
  7025  6579   8.0848679229348741e-02
  6573  6582   8.4223819304968042e-02
  6574  6582   2.5908118558901450e-02
  6582  6582   5.0282349170361917e-01
  6994  6582   2.5156371432952341e-02
  7012  6582   7.4776105851100463e-02
  6437  6765  -4.2524208816098058e-02
  6564  6765   2.1035044754678010e-02
  6765  6765   4.2630639479336330e-01
  6766  6765  -2.5011417755870041e-02
  7219  6765   4.4751018145086342e-02
  6467  6766   7.9547307045851959e-02
  6765  6766  -2.5011417755870041e-02
  6766  6766   4.9258851997889630e-01
  6815  6766  -1.8956006725768700e-02
  7219  6766   7.6303819732736616e-02
  6567  6771  -2.9214481784288430e-02
  6573  6771   8.9364058142057612e-02
  6771  6771   2.6603341327283619e-01
  6562  6772   8.6368194907728360e-02
  6566  6772  -2.3883787261325840e-02
  6567  6772   3.1200435542473020e-02
  6772  6772   5.1483761421725005e-01
  6775  6772  -8.0011325381297918e-02
  6567  6775   3.5027495507106612e-02
  6772  6775  -8.0011325381297918e-02
  6775  6775   5.2323704193217746e-01
  6993  6775   8.1447903845221797e-02
  7235  6775   3.4104780104989713e-02
  6564  6778   7.9366779955962904e-02
