      20      19
      15      15   5.4493181843713212e-01
      19      15  -5.0379894645922152e-01
      20      15  -5.0379894645922152e-01
      16      16   7.3864287457586719e-01
      19      16   4.7546936887898256e-01
      20      16   4.7546936887898256e-01
      17      17   3.0000000000000000e-01
      19      17  -1.2219710453446950e-01
      20      17  -1.2219710453446950e-01
      15      19  -5.0379894645922152e-01
      16      19   4.7546936887898256e-01
      17      19  -1.2219710453446950e-01
      19      19   7.0000000000000000e-01
      20      19   7.0000000000000000e-01
      15      20  -5.0379894645922152e-01
      16      20   4.7546936887898256e-01
      17      20  -1.2219710453446950e-01
      19      20   7.0000000000000000e-01
      20      20   7.0000000000000000e-01
