    9956     293
     1     1   1.5232720594930564e+00
     3     1   1.9835147332446315e-01
    25     1   3.9448914802752361e-01
     1     3   1.9835147332446315e-01
     3     3   1.6055728442020245e+00
     4     3  -1.4336349705044743e-01
    25     3   4.6129294688871042e-01
    34     3  -1.4876245201215052e-01
     3     4  -1.4336349705044743e-01
     4     4   2.1610427198770044e+00
    30     4  -1.6736579929430287e-01
    34     4   6.7440283912260035e-01
     5     5   1.5296805748681359e+00
     7     5   1.9765277634032344e-01
    11     5   4.0074927376958358e-01
     6     6   2.1735990582887714e+00
     7     6   1.4131440595860523e-01
    13     6   1.6855343878961995e-01
    52     6   6.8248203749902958e-01
     5     7   1.9765277634032344e-01
     6     7   1.4131440595860523e-01
     7     7   1.5940579816049041e+00
    11     7   4.5378381681139118e-01
    52     7   1.4059670065568275e-01
     5    11   4.0074927376958358e-01
     7    11   4.5378381681139118e-01
    11    11   2.5359588102203663e+00
    18    11   2.0135967080601619e-01
     6    13   1.6855343878961995e-01
    13    13   2.1722291174486785e+00
    14    13   1.4211837541738967e-01
    50    13   6.8186182327355360e-01
    13    14   1.4211837541738967e-01
    14    14   1.5957801987111115e+00
    15    14   1.9722522471706863e-01
    16    14   4.5470259050075240e-01
    50    14   1.4196418691727380e-01
    14    15   1.9722522471706863e-01
    15    15   1.5284999460056847e+00
    16    15   3.9927202087042224e-01
    14    16   4.5470259050075240e-01
    15    16   3.9927202087042224e-01
    16    16   2.5361486751378504e+00
    54    16   2.0061967813306525e-01
    11    18   2.0135967080601619e-01
    18    18   1.8575906879283444e+00
    48    18   1.1230280380648328e-01
   121    18  -2.4975371620042428e-01
     1    25   3.9448914802752361e-01
     3    25   4.6129294688871042e-01
    25    25   2.5451690662422983e+00
    26    25   2.0033137616891775e-01
    25    26   2.0033137616891775e-01
    26    26   1.8510855946338964e+00
    33    26  -1.0579707366907620e-01
   139    26   2.5599511049959389e-01
    29    29   1.5948873924192444e+00
    30    29  -1.4287018531554596e-01
    31    29  -1.9725839055565797e-01
    38    29  -4.5375329861659403e-01
   102    29   1.4263808757995375e-01
     4    30  -1.6736579929430287e-01
    29    30  -1.4287018531554596e-01
    30    30   2.1712948431670780e+00
   102    30  -6.8212761372361963e-01
    29    31  -1.9725839055565797e-01
    31    31   1.5294085967933773e+00
    38    31   4.0023415804493723e-01
    26    33  -1.0579707366907620e-01
    33    33   1.7812136454464389e+00
    35    33   1.6020520901402516e-01
   139    33   2.1953078119499431e-01
   143    33   1.3248264826374040e-01
     3    34  -1.4876245201215052e-01
     4    34   6.7440283912260035e-01
    34    34   2.5261073591445617e+00
    35    34   2.3051083125140989e-01
    36    34  -2.1359201666397223e-01
    33    35   1.6020520901402516e-01
    34    35   2.3051083125140989e-01
    35    35   1.9757501229744148e+00
    36    35   1.3493457809474305e-01
   143    35  -2.8918711066317304e-01
    34    36  -2.1359201666397223e-01
    35    36   1.3493457809474305e-01
    36    36   1.8542789426187591e+00
    75    36   1.4213856404612188e-01
   102    36  -2.0587234921131187e-01
    29    38  -4.5375329861659403e-01
    31    38   4.0023415804493723e-01
    38    38   2.5352104032950420e+00
    76    38   2.0089424624301108e-01
    18    48   1.1230280380648328e-01
    48    48   1.7921485861825008e+00
    51    48   1.6984452455793031e-01
   114    48   1.2920256041648623e-01
   121    48   2.1865832396461965e-01
    13    50   6.8186182327355360e-01
    14    50   1.4196418691727380e-01
    50    50   2.5195833743638505e+00
    53    50  -2.0592887852778205e-01
    61    50   2.2948108481882673e-01
    48    51   1.6984452455793031e-01
    51    51   1.9868174954910904e+00
    52    51   2.2921361506497037e-01
    53    51   1.4540604652101360e-01
   114    51  -2.8237844449103788e-01
     6    52   6.8248203749902958e-01
     7    52   1.4059670065568275e-01
    51    52   2.2921361506497037e-01
    52    52   2.5165356946111723e+00
    53    52  -2.0392967380469901e-01
    50    53  -2.0592887852778205e-01
    51    53   1.4540604652101360e-01
    52    53  -2.0392967380469901e-01
    53    53   1.8556835030035217e+00
    61    53   1.4322980270636751e-01
    16    54   2.0061967813306525e-01
    54    54   1.8550735698047660e+00
    55    54  -1.1157892114794948e-01
   198    54   2.4931057438956111e-01
    54    55  -1.1157892114794948e-01
    55    55   1.7925707170651579e+00
    61    55  -1.6867461545132076e-01
   198    55   2.1986755287522647e-01
   208    55   1.3029006680693872e-01
    50    61   2.2948108481882673e-01
    53    61   1.4322980270636751e-01
    55    61  -1.6867461545132076e-01
    61    61   1.9838656115132025e+00
   208    61   2.8243783011272583e-01
    36    75   1.4213856404612188e-01
    75    75   1.9826136613182284e+00
    77    75  -1.6706876109596605e-01
   102    75   2.3069309533505139e-01
   173    75   2.8262577857698334e-01
    38    76   2.0089424624301108e-01
    76    76   1.8571152574754275e+00
    77    76   1.1234275451452908e-01
   164    76   2.4963242993615661e-01
    75    77  -1.6706876109596605e-01
    76    77   1.1234275451452908e-01
    77    77   1.7919278721829313e+00
   164    77  -2.1873440222572896e-01
   173    77   1.3168891399867147e-01
    79    79   2.0217889775595497e+00
    80    79   1.7824521972499235e-01
   114    79   2.5299256986313423e-01
   202    79   1.7729003361296047e-01
   261    79  -2.5467751824298956e-01
    79    80   1.7824521972499235e-01
    80    80   1.8143321196425175e+00
   116    80  -1.5600262167555923e-01
   251    80   1.7543827777234819e-01
   261    80   1.4643434945521824e-01
    81    81   1.8234737414548297e+00
    82    81  -1.7865005968379197e-01
   199    81  -1.8095759570561609e-01
   201    81   1.5454106368365017e-01
   224    81   1.5165401898414391e-01
    81    82  -1.7865005968379197e-01
    82    82   2.0131989674350637e+00
   202    82   1.7575310631086133e-01
   208    82  -2.5200907160805719e-01
   224    82   2.4867251696820844e-01
    83    83   1.8137590064246676e+00
    84    83   1.7687918936776476e-01
   140    83  -1.5571458815180936e-01
   197    83   1.7505571608276019e-01
   267    83  -1.4789639314597913e-01
    83    84   1.7687918936776476e-01
    84    84   2.0167604050081294e+00
   143    84  -2.5201999786199997e-01
   161    84   1.7486733987361025e-01
   267    84   2.5454655879116039e-01
    29   102   1.4263808757995375e-01
    30   102  -6.8212761372361963e-01
    36   102  -2.0587234921131187e-01
    75   102   2.3069309533505139e-01
   102   102   2.5219306704304492e+00
    48   114   1.2920256041648623e-01
    51   114  -2.8237844449103788e-01
    79   114   2.5299256986313423e-01
   114   114   1.9741695981445644e+00
   202   114  -1.4894394521617832e-01
    80   116  -1.5600262167555923e-01
   116   116   1.9431704161020669e+00
   121   116  -2.2590448965679735e-01
   251   116   2.4741366414329213e-01
    18   121  -2.4975371620042428e-01
    48   121   2.1865832396461965e-01
   116   121  -2.2590448965679735e-01
   121   121   2.0485129981873409e+00
    26   139   2.5599511049959389e-01
    33   139   2.1953078119499431e-01
   139   139   2.0561788321465140e+00
   140   139   2.2559499437284483e-01
    83   140  -1.5571458815180936e-01
   139   140   2.2559499437284483e-01
   140   140   1.9433510406957055e+00
   197   140   2.4812067413688085e-01
    33   143   1.3248264826374040e-01
    35   143  -2.8918711066317304e-01
    84   143  -2.5201999786199997e-01
   143   143   1.9869277426116223e+00
   161   143   1.5223784007307992e-01
    84   161   1.7486733987361025e-01
   143   161   1.5223784007307992e-01
   161   161   1.8125459863349711e+00
   173   161  -1.5216437242545663e-01
   245   161   1.7502955529075101e-01
    76   164   2.4963242993615661e-01
    77   164  -2.1873440222572896e-01
   164   164   2.0480556562282253e+00
   250   164   2.2546471669225379e-01
    75   173   2.8262577857698334e-01
    77   173   1.3168891399867147e-01
   161   173  -1.5216437242545663e-01
   173   173   1.9789119926832917e+00
   245   173   2.5192777314717602e-01
    83   197   1.7505571608276019e-01
   140   197   2.4812067413688085e-01
   197   197   1.9800866996273812e+00
   199   197   2.2785758425102975e-01
    54   198   2.4931057438956111e-01
    55   198   2.1986755287522647e-01
   198   198   2.0498140501492168e+00
   201   198   2.2514584891469777e-01
    81   199  -1.8095759570561609e-01
   197   199   2.2785758425102975e-01
   199   199   1.9865628821403756e+00
   201   199   2.4319574837221736e-01
    81   201   1.5454106368365017e-01
   198   201   2.2514584891469777e-01
   199   201   2.4319574837221736e-01
   201   201   1.9360737874136491e+00
    79   202   1.7729003361296047e-01
    82   202   1.7575310631086133e-01
   114   202  -1.4894394521617832e-01
   202   202   1.8117266903693561e+00
